general,race,gender-sexuality,religion,other-body-parts,ableist,problem-words,multiple-worded
fuck,nigger,dick,hell,ass,retard,tit,son of a bitch
shit,chink,cunt,damn,queaf,spaz,motherfucker,doggie style
pissed,niglet,pussy,,shart,,cum,fucked up
screw,wetback,fag,,urine,,hoe,ass
,,queer,,rimming,,chink,
,,boner,,arse,,gay,
,,dong,,shat,,,
,,slut,,crap,,,
,,dyke,,,,,
,,pimp,,,,,
,,whore,,,,,
,,hoe,,,,,
,,bitch,,,,,
,,cock,,,,,
,,tramp,,,,,
,,cum,,,,,
,,schlong,,,,,
,,spunk,,,,,
,,skank,,,,,
,,motherfucker,,,,,
,,tit,,,,,
,,gay,,,,,
,,mothafucker,,,,,
,,screw,,,,,
,,blowjob,,,,,
